Stroke#,Radical,Meaning,Reading,Reading-R,Position-J,Position-R,Importance,Origin,Variant-of,Variant-of-Reading
6,⾍,"worm, insect, bug",むし,mushi,,,,Kangxi,,
6,,"worm, insect, bug",むしへん,mushihen,へん,hen,Important,,⾍,むし
6,⾎,blood,ち,chi,,,,Kangxi,,
6,⾏,to go,ぎょうがまえ,gyougamae,"かまえ, ぎょうがまえ","kamae, gyougamae",Important,Kangxi,,
6,⾐,clothing,ころも,koromo,,,,Kangxi,,
6,⾑,"cover, west",にし,nishi,,,,Kangxi,,
6,⻃,"cover, west",にし,nishi,,,,,⾑,にし
6,⽠,melon,うり,uri,,,,,⽠,うり
7,⾒,to see,みる,miru,,,,Kangxi,,
7,⾓,"horn, corner",つの,tsuno,,,,Kangxi,,
7,,"horn, corner",つのへん,tsunohen,へん,hen,,,⾓,つの
7,⾔,"words, to speak, say",げん,gen,,,,Kangxi,,
7,,"words, to speak, say",ごんべん,gonben,へん,hen,Important,,⾔,げん
7,⾕,valley,たに,tani,,,,Kangxi,,
7,,valley,たにへん,tanihen,へん,hen,,,⾕,たに
7,⾖,bean,まめ,mame,,,,Kangxi,,
7,,bean,まめへん,mamehen,へん,hen,,,⾖,まめ
7,⾗,pig,いのこ,inoko,,,,Kangxi,,
7,⾘,badger,むじなへん,mujinahen,へん,hen,,Kangxi,,
7,⾙,"shell, property, wealth",かい,kai,,,,Kangxi,,
7,,"shell, property, wealth",かいへん,kaihen,へん,hen,Important,,⾙,かい
7,⾚,red,あか,aka,,,,Kangxi,,
7,⾛,to run,はしる,hashiru,,,,Kangxi,,
7,,to run,そうにょう,sounyou,にょう,nyou,Important,,⾛,はしる
7,⾜,"foot, leg",あし,ashi,,,,Kangxi,,
7,⻊,"foot, leg",あしへん,ashihen,へん,hen,Important,,⾜,あし
7,⾝,body,み,mi,,,,Kangxi,,
7,,body,みへん,mihen,へん,hen,,,⾝,み
7,⾞,"vehicle, wheel, car",くるま,kuruma,,,,Kangxi,,
7,,"vehicle, wheel, car",くるまへん,kurumahen,へん,hen,Important,,⾞,くるま
7,⾟,bitter,からい,karai,,,,Kangxi,,
7,⾠,"Fifth zodiac sign, 7–9 A.M.",しんのたつ,shinnotatsu,,,,Kangxi,,
7,⾡,"to advance, move ahead",しんにょう,shinnyou,,,,Kangxi,,
7,⾢,community,むら,mura,,,,Kangxi,,
7,⾣,"sake jar, bird",ひよみのとり,hiyominotori,,,,Kangxi,,
7,,"sake jar, bird",とりへん,torihen,へん,hen,,,⾣,ひよみのとり
7,⾤,to separate,のごめ,nogome,,,,Kangxi,,
7,,to separate,のごめへん,nogomehen,へん,hen,,,⾤,のごめ
7,⾥,"village, (3.93 km)",さと,sato,,,,Kangxi,,
7,,"village, (3.93 km)",さとへん,satohen,へん,hen,,,⾥,さと
7,⾂,"retainer, minister",しん,shin,,,,,⾂,しん
7,,"contrary, to err",まいあし,maiashi,,,,,⾇,まいあし
7,⻨,wheat,むぎ,mugi,,,,,⿆,むぎ
8,⾦,"metal, gold, mineral",かね,kane,,,,Kangxi,,
8,,"metal, gold, mineral",かねへん,kanehen,へん,hen,Important,,⾦,かね
8,⻑,long,ながい,nagai,,,,Kangxi,,
8,⾨,"gate, door",もんがまえ,mongamae,"かまえ, もんがまえ","kamae, mongamae",Important,Kangxi,,
8,⾩,hill,こざと,kozato,,,,Kangxi,,
8,⾪,to capture,れいづくり,reizukuri,つくり,tsukuri,,Kangxi,,
8,⾫,small bird,ふるとり,furutori,,,,Kangxi,,
8,⾬,rain,あめ,ame,,,,Kangxi,,
8,⻗,rain,あめかんむり,amekanmuri,かんむり,kanmuri,Important,,⾬,あめ
8,⾭,"blue, green",あお,ao,,,,Kangxi,,
8,⻘,"blue, green",あお,ao,,,,,⾭,あお
8,⾮,"wrong, non-",あらず,arazu,,,,Kangxi,,
8,⻟,"food, to eat",しょくへん,shokuhen,へん,hen,,,⾷,しょく
8,⻫,alike,せい,sei,,,,,⿑,せい
9,⾯,"face, surface",めん,men,,,,Kangxi,,
9,⾰,leather,つくりがわ,tsukurigawa,,,,Kangxi,,
9,,leather,なめしがわ,nameshigawa,,,,Kangxi,,
9,⾲,leek,にら,nira,,,,Kangxi,,
9,⾳,"sound, noise",おと,oto,,,,Kangxi,,
9,⾴,"head, page",おおがい,oogai,つくり,tsukuri,Important,Kangxi,,
9,⾵,wind,かぜ,kaze,,,,Kangxi,,
9,⾶,to fly,とぶ,tobu,,,,Kangxi,,
9,⾷,"food, to eat",しょく,shoku,,,,Kangxi,,
9,⾸,head,くび,kubi,,,,Kangxi,,
9,⾹,scent,かおり,kaori,,,,Kangxi,,
10,⾺,horse,うま,uma,,,,Kangxi,,
10,,horse,うまへん,umahen,へん,hen,,,⾺,うま
10,⾻,bone,ほね,hone,,,,Kangxi,,
10,,bone,ほねへん,honehen,へん,hen,,,⾻,ほね
10,⾼,high,たかい,takai,,,,Kangxi,,
10,⾽,long hair,かみかんむり,kamikanmuri,かんむり,kanmuri,,Kangxi,,
10,⾾,fighting,たたかいがまえ,tatakaigamae,かまえ,kamae,,Kangxi,,
10,⾿,herbs,においざけ,nioizake,,,,Kangxi,,
10,⿀,tripod,れき,reki,,,,Kangxi,,
10,⿁,demon,おに,oni,,,,Kangxi,,
10,⾱,leather,なめしがわ,nameshigawa,,,,,,なめしがわ
11,⿂,fish,うお,uo,,,,Kangxi,,
11,,fish,うおへん,uohen,へん,hen,Important,,⿂,うお
11,⿃,bird,とり,tori,,,,Kangxi,,
11,⿄,salt,しお,shio,,,,Kangxi,,
11,⿅,deer,しか,shika,,,,Kangxi,,
11,⿆,wheat,むぎ,mugi,,,,Kangxi,,
11,⿇,hemp,あさ,asa,,,,Kangxi,,
11,,hemp,あさかんむり,asakanmuri,かんむり,kanmuri,,,⿇,あさ
11,⻩,yellow,き,ki,,,,,⿈,き
11,黒,black,くろ,kuro,,,,,⿊,くろ
11,⻲,turtle,かめ,kame,,,,,⿔,かめ
12,⿈,yellow,き,ki,,,,Kangxi,,
12,⿉,millet,きび,kibi,,,,Kangxi,,
12,⿊,black,くろ,kuro,,,,Kangxi,,
12,⿋,embroider,ぬいとり,nuitori,,,,Kangxi,,
12,⻭,tooth,は,ha,,,,,⿒,は
13,⿌,frog,かえる,kaeru,,,,Kangxi,,
13,⿍,tripod,かなえ,kanae,,,,Kangxi,,
13,⿎,drum,つづみ,tuzumi,,,,Kangxi,,
13,⿏,"rat, mouse",ねずみ,nezumi,,,,Kangxi,,
14,⿐,nose,はな,hana,,,,Kangxi,,
14,⿑,alike,せい,sei,,,,Kangxi,,
15,⿒,tooth,は,ha,,,,Kangxi,,
16,⿓,dragon,りゅう,ryuu,,,,Kangxi,,
16,⿔,turtle,かめ,kame,,,,Kangxi,,
17,⿕,flute,やく,yaku,,,,Kangxi,,
